t,UA1,UB1,IA,UB
11701.000,6.645,3.245,6.645,"32,45"
11801.000,6.930,3.270,6.930,"32,7"
"11,9",7.200,3.295,7.200,"32,95"
12001.000,7.485,3.320,7.485,"33,2"
12101.000,7.620,3.345,7.620,"33,45"
12201.000,7.890,3.375,7.890,"33,75"
"12,3",8.160,3.395,8.160,"33,95"
"12,4",8.415,3.425,8.415,"34,25"
12501.000,8.640,3.450,8.640,"34,5"
"12,6",8.820,3.475,8.820,"34,75"
"12,7",8.970,3.500,8.970,35.000
"12,8",9.060,3.525,9.060,"35,25"
"12,9",9.120,3.555,9.120,"35,55"
12999.000,9.180,3.575,9.180,"35,75"
"13,1",9.240,3.605,9.240,"36,05"
"13,2",9.255,3.630,9.255,"36,3"
"13,3",9.240,3.655,9.240,"36,55"
"13,4",9.210,3.685,9.210,"36,85"
"13,5",9.150,3.705,9.150,"37,05"
"13,6",9.060,3.730,9.060,"37,3"
13699.000,8.955,3.760,8.955,"37,6"
13799.000,8.835,3.780,8.835,"37,8"
"13,9",8.715,3.810,8.715,"38,1"
14.000,8.565,3.835,8.565,"38,35"
"14,1",8.415,3.865,8.415,"38,65"
14199.000,8.235,3.890,8.235,"38,9"
"14,3",8.040,3.915,8.040,"39,15"
